"ResponseId","LICENSE","AGE","GENDER","GENDER_OTHER_TEXT","ZIPCODE","COUNTY","COUNTY_OTHER_TEXT","INCOME","COSTS","FREQUENCY","DURATION","SKILL","REASONS_N","REASON_FUN","REASON_FOOD","REASON_SELL","REASON_CHARTER","REASON_OTHER","REASON_OTHER_TEXT","LOCATIONS_N","LOCATION_VESSEL","LOCATION_SHORE","LOCATION_PIER","ZONES_N","ZONE_1","ZONE_2","ZONE_3","ZONE_4","ZONE_5","ZONE_6","ZONE_7","ZONE_8","ZONE_9","ZONE_10","ZONE_11","ZONE_12","ZONE_13","ZONE_14","ZONE_15","ZONE_16","ZONE_17","ZONE_18","ZONE_19","ZONE_20","ZONE_21","ZONE_22","ZONE_23","ZONE_24","ZONE_25","ZONE_26","ZONE_27","ZONE_28","ZONE_29","ZONE_30","ZONE_31","ZONE_32","ZONE_33","ZONE_34","ZONE_35","ZONE_36","ZONE_37","ZONE_38","ZONE_39","ZONE_40","ZONE_41","ZONE_42","ZONE_43","ZONE_44","ZONE_45","ZONE_46","ZONE_47","ZONE_48","ZONE_49","ZONE_50","ZONE_51","ZONE_52","ZONE_53","ZONE_54","ZONE_55","ZONE_56","ZONE_57","ZONE_58","ZONE_59","ZONE_60","ZONE_61","ZONE_62","ZONE_63","ZONE_64","ZONE_65","ZONE_66","ZONE_67","ZONE_68","ZONE_69","ZONE_70","ZONE_71","ZONE_72","ZONE_73","ZONE_74","ZONE_75","ZONE_76","PRESSURES_N","PRESSURE_STORMS","PRESSURE_HABLOSS","PRESSURE_WQUALITY","PRESSURE_FISHPOP","PRESSURE_ANGLERS","PRESSURE_DEVELOP","PRESSURE_COSTS","PRESSURE_POLICY","SPECIES_OFTEN_N","SPECIES_SNOOK","SPECIES_SEATROUT","SPECIES_REDDRUM","SPECIES_TARPON","SPECIES_SHEEPSHEAD","SPECIES_SNAPPER","SPECIES_GROUPER","SPECIES_OTHER","SPECIES_OTHER_TEXT","HABITAT_SEAGRASS","HABITAT_HARDBTM","HABITAT_ARTREEF","HABITAT_RIVER","HABITAT_SHORELINE","HABITAT_INFRASTR","AR_RELIEF","AR_SIZE","AR_DEPTH","AR_COMPLEX","AR_MATERIAL_CONCRETE","AR_MATERIAL_PREFAB","AR_MATERIAL_ROCK","AR_MATERIAL_TIRE","CONCRETE_ATTRACTFISH","CONCRETE_WORSEWQ","CONCRETE_SEDSTABILIZE","CONCRETE_DAMAGEHAB","CONCRETE_RESTORETOOL","TIRE_ATTRACTFISH","TIRE_WORSEWQ","TIRE_SEDSTABILIZE","TIRE_DAMAGEHAB","TIRE_RESTORETOOL","FUNDING","AWARE","ACTION_MONITOR","ACTION_STABILIZE","ACTION_COVER","ACTION_REMOVEPART","ACTION_REMOVEALL"
"R_3VndhXocnxXugRr","General","55 - 64","Male",NA,"33709","Pinellas",NA,"$50,001 - $75,000",100,"About once a week","20 years or more","Excellent",2,1,1,0,0,0,NA,2,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,1,1,1,0,1,0,1,5,"Sometimes","Often","Often","Rarely","Sometimes","Often","Often","Often",NA,"Always","Often","Often","Often","Always","Always","High","Medium","Shallow","Complex","Sometimes","Sometimes","Often","Never","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Supportive","No",5,5.53,2.49,6.05,2.09
"R_7EAxeyjm5j7PD0K","General","55 - 64","Male",NA,"33578","Hillsborough",NA,"$100,000 or more",75,"About once a month","20 years or more","Excellent",1,1,0,0,0,0,NA,1,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,3,"Always","Always","Always","Sometimes","Sometimes","Sometimes","Rarely","Rarely",NA,"Often","Rarely","Rarely","Sometimes","Often","Sometimes","Not sure","Not sure","Deep","Not sure","Sometimes","Sometimes","Often","Never","Somewhat agree","Disagree","Agree","Somewhat disagree","Agree","Somewhat disagree","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Supportive","No",3.79,6.45,6.39,10,3.21
"R_5znXPkoASru1QJT","General","55 - 64","Male",NA,"33569","Hillsborough",NA,"$100,000 or more",200,"About once a week","20 years or more","Excellent",2,1,1,0,0,0,NA,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,7,0,1,1,1,1,1,1,1,3,"Always","Always","Always","Rarely","Sometimes","Sometimes","Rarely","Rarely",NA,"Often","Sometimes","Rarely","Often","Often","Often","Moderate","Medium","Moderate","Moderate","Often","Never","Often","Never","Agree","Somewhat disagree","Agree","Disagree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat disagree","Supportive","No",0.53,0.73,4.62,9.51,10
"R_1gdrdqt5ddbXAPA","General","18 - 24","Male",NA,"33810","Polk",NA,"$50,001 - $75,000",200,"About once a month","5 - 9 years","Excellent",2,1,1,0,0,0,NA,3,1,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,1,1,5,"Often","Often","Often","Rarely","Sometimes","Often","Often","Sometimes","Mackerel","Often","Often","Often","Rarely","Often","Often","Moderate","Large","Moderate","Complex","Sometimes","Sometimes","Often","Rarely","Agree","Somewhat disagree","Somewhat agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","No",0.06,0.05,0,9.82,9.84
"R_1popCtXNngaMZ1G","General","45 - 54","Male",NA,"33625","Hillsborough",NA,"$75,001 - $100,000",30,"About once a month","20 years or more","Excellent",2,1,1,0,0,0,NA,2,1,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,4,"Always","Always","Always","Rarely","Often","Rarely","Rarely","Never",NA,"Sometimes","Never","Rarely","Sometimes","Often","Sometimes","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Agree","Disagree","Somewhat agree","Disagree","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Supportive","Yes",2.21,5.35,0.26,6.96,5.35
"R_35FJPNuRT1xekz7","General","45 - 54","Male",NA,"33511","Hillsborough",NA,"$50,001 - $75,000",250,"About once a month","10 - 19 years","Good",1,0,1,0,0,0,NA,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,1,1,0,0,0,1,1,"Never","Sometimes","Sometimes","Never","Never","Sometimes","Often","Sometimes","Flounder","Sometimes","Often","Often","Never","Sometimes","Often","High","Medium","Deep","Complex","Sometimes","Sometimes","Sometimes","Never","Agree","Disagree","Agree","Somewhat disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Supportive","No",0.11,0.11,0.11,10,10
"R_3LYD7MRpAHRKjkI","General","55 - 64","Female",NA,"33898","Polk",NA,"$100,000 or more",350,"A few times","10 - 19 years","Excellent",2,1,1,0,0,0,NA,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,6,"Always","Always","Always","Never","Always","Always","Always","Never",NA,"Always","Sometimes","Sometimes","Sometimes","Often","Sometimes","Not sure","Not sure","Not sure","Not sure","Often","Not sure","Often","Not sure","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Agree","Supportive","No",8.24,7.59,6.88,0.58,0.62
"R_6gyeKikJjV0fWBb","General","35 - 44","Male",NA,"33771","Pinellas",NA,"$25,001 - $50,000",50,"About once a month","20 years or more","Good",2,1,1,0,0,0,NA,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never",NA,"Often","Rarely","Rarely","Rarely","Sometimes","Often","Low","Medium","Shallow","Moderate","Sometimes","Rarely","Sometimes","Rarely","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Disagree","Supportive","No",4.65,9.06,6.4,9.51,7.43
"R_1jBA5Q5brWppwHq","General","55 - 64","Female",NA,"33617-7631","Hillsborough",NA,"$75,001 - $100,000",50,"About once a month","5 - 9 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sometimes","Sometimes","Rarely","Rarely","Rarely","Often","Never","Never",NA,"Often","Sometimes","Sometimes","Rarely","Often","Sometimes","Not sure","Large","Shallow","Moderate","Sometimes","Not sure","Sometimes","Never","Strongly disagree","Disagree","Agree","Somewhat disagree","Agree","Disagree","Agree","Disagree","Agree","Somewhat agree","Supportive","No",0,10,0,10,10
"R_5tmmNXziTUwlalY","General","25 - 34","Female",NA,"33760","Pinellas",NA,"$75,001 - $100,000",30,"A few times","Less than a year","Fair",2,1,1,0,0,0,NA,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,"Never","Never","Rarely","Never","Rarely","Rarely","Rarely","Never",NA,"Never","Never","Never","Never","Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Supportive","No",3.46,6.5,2.65,7.27,5.31
"R_7CGUgl80SkqaGQb","General","45 - 54","Male",NA,"33596","Hillsborough",NA,"$100,000 or more",30,"About once a week","5 - 9 years","Good",1,1,0,0,0,0,NA,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,3,"Always","Always","Always","Rarely","Never","Rarely","Rarely","Never",NA,"Often","Rarely","Never","Rarely","Always","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Supportive","No",4.97,4.72,4.5,4.39,6.22
"R_3Ftg0DHOCQi8Sr6","General","55 - 64","Male",NA,"33624","Hillsborough",NA,"$100,000 or more",200,"About once a week","20 years or more","Excellent",1,1,0,0,0,0,NA,1,1,0,0,27,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,1,1,1,1,1,0,0,0,4,"Always","Always","Always","Often","Sometimes","Sometimes","Sometimes","Sometimes","mackerel","Often","Sometimes","Sometimes","Often","Often","Often","Moderate","Small","Moderate","Moderate","Often","Rarely","Often","Rarely","Agree","Disagree","Strongly agree","Disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Supportive","No",1.14,7.46,2.15,8.01,1.93
"R_3IaAepkEyo1ulhd","General","45 - 54","Male",NA,"33558","Pasco",NA,"$100,000 or more",100,"A few times","10 - 19 years","Excellent",2,1,1,0,0,0,NA,3,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,4,"Sometimes","Often","Often","Rarely","Often","Often","Sometimes","Sometimes",NA,"Often","Rarely","Rarely","Sometimes","Sometimes","Often","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Somewhat agree","Disagree","Somewhat agree","Disagree","Somewhat agree","Disagree","Agree","Agree","Agree","Disagree","Supportive","No",0,0,0.01,3.77,10
"R_17a3CU5PoBSyDhb","General","65 or older","Male",NA,"33598","Hillsborough",NA,"$100,000 or more",100,"About once a month","10 - 19 years","Good",1,1,0,0,0,0,NA,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,3,"Often","Often","Often","Rarely","Rarely","Sometimes","Sometimes","Rarely",NA,"Often","Sometimes","Sometimes","Often","Often","Rarely","Moderate","Small","Moderate","Not sure","Often","Never","Never","Never","Agree","Disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Disagree","Somewhat agree","Somewhat disagree","Supportive","No",5.07,3.1,2.03,2.06,2.1
"R_65viu596oMsyWNR","General","65 or older","Male",NA,"33598-4083","Hillsborough",NA,"$100,000 or more",300,"About once a month","20 years or more","Good",1,1,0,0,0,0,NA,1,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,4,1,0,1,1,1,0,0,0,3,"Often","Often","Often","Rarely","Rarely","Rarely","Rarely","Sometimes","Cobia","Often","Sometimes","Sometimes","Often","Often","Sometimes","Moderate","Medium","Shallow","Moderate","Sometimes","Not sure","Sometimes","Rarely","Agree","Disagree","Somewhat agree","Disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Disagree","Supportive","No",2.92,6.95,7.36,7.51,5.43
"R_1lohJoMJHvsaioT","General","25 - 34","Male",NA,"33607","Hillsborough",NA,"$25,001 - $50,000",20,"About once a week","10 - 19 years","Excellent",1,1,0,0,0,0,NA,2,1,1,0,15,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,1,1,1,1,1,0,0,4,"Always","Always","Always","Always","Rarely","Sometimes","Sometimes","Never","n/a","Often","Often","Often","Rarely","Often","Often","Not sure","Not sure","Not sure","Not sure","Always","Not sure","Always","Not sure","Strongly agree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","Supportive","No",6.04,7.08,6.21,4.94,2.07
"R_7LZMgsvtLjQ0bjM","General","55 - 64","Male",NA,"33578","Hillsborough",NA,"$25,000 or less",200,"A few times","20 years or more","Good",1,1,0,0,0,0,NA,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,3,"Often","Often","Often","Sometimes","Rarely","Rarely","Rarely","Never",NA,"Often","Often","Sometimes","Often","Often","Often","Moderate","Medium","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Sometimes","Strongly agree","Disagree","Agree","Disagree","Strongly agree","Agree","Somewhat disagree","Agree","Disagree","Agree","Supportive","No",4.49,6.89,4.75,4.63,1.63
"R_6f1KaAFCiDw7Lcr","General","55 - 64","Male",NA,"33844","Polk",NA,"$75,001 - $100,000",180,"Many times a week","1 - 4 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,4,"Often","Often","Often","Sometimes","Often","Sometimes","Sometimes","Sometimes",NA,"Often","Often","Often","Often","Often","Often","Moderate","Medium","Shallow","Moderate","Often","Sometimes","Often","Rarely","Strongly agree","Disagree","Agree","Disagree","Strongly agree","Somewhat agree","Disagree","Disagree","Agree","Somewhat disagree","Supportive","No",9.17,2.95,4.99,0.35,0.43
"R_1aQuBSwqBWQHQ4Z","General","65 or older","Male",NA,"33598","Hillsborough",NA,"$100,000 or more",150,"About once a month","10 - 19 years","Good",1,1,0,0,0,0,NA,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,5,"Often","Often","Often","Sometimes","Often","Sometimes","Rarely","Often",NA,"Often","Often","Often","Sometimes","Sometimes","Often","Not sure","Medium","Moderate","Complex","Often","Not sure","Sometimes","Not sure","Agree","Disagree","Somewhat disagree","Agree","Agree","Disagree","Somewhat agree","Disagree","Strongly agree","Disagree","Neutral","Yes",3.62,5.06,2.66,6.95,8.98
"R_1PbpdGkvgb0UdBx","General","45 - 54","Male",NA,"33544","Pasco",NA,"$100,000 or more",50,"About once a week","1 - 4 years","Good",2,1,1,0,0,0,NA,2,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,"Sometimes","Often","Often","Rarely","Often","Always","Often","Sometimes",NA,"Often","Sometimes","Rarely","Rarely","Often","Often","Not sure","Small","Shallow","Simple","Sometimes","Rarely","Often","Never","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Somewhat disagree","Agree","Disagree","Neutral","No",2.65,8.08,8.93,9.79,10
"R_70SLd09TFTgCrLt","General","45 - 54","Male",NA,"34654","Pasco",NA,"$100,000 or more",250,"A few times","5 - 9 years","Good",2,1,1,0,0,0,NA,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Always","Always","Always","Rarely","Sometimes","Sometimes","Never","Never",NA,"Always","Sometimes","Rarely","Often","Often","Always","Not sure","Small","Shallow","Not sure","Often","Never","Always","Never","Agree","Disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Supportive","No",5,3.05,3.11,7.92,9.11
"R_17xtCRJnIw8j4OE","General","25 - 34","Male",NA,"33547","Hillsborough",NA,"$50,001 - $75,000",100,"About once a week","10 - 19 years","Excellent",2,1,1,0,0,0,NA,3,1,1,1,26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,6,0,1,1,0,1,1,1,1,4,"Often","Rarely","Often","Sometimes","Rarely","Sometimes","Often","Often","Pompano","Sometimes","Often","Sometimes","Sometimes","Often","Often","Moderate","Medium","Moderate","Moderate","Often","Rarely","Often","Never","Agree","Disagree","Agree","Somewhat disagree","Agree","Disagree","Agree","Somewhat agree","Agree","Disagree","Supportive","No",5.04,8.36,2.12,6.87,8.78
"R_3kHv195N9jaLxq9","General","65 or older","Male",NA,"33598","Hillsborough",NA,"$50,001 - $75,000",275,"About once a month","1 - 4 years","Good",2,1,1,0,0,0,NA,2,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,5,"Never","Often","Often","Never","Often","Often","Often","Never",NA,"Often","Often","Sometimes","Rarely","Often","Rarely","Moderate","Medium","Moderate","Simple","Not sure","Not sure","Sometimes","Not sure","Somewhat agree","Disagree","Somewhat disagree","Disagree","Somewhat agree","Disagree","Agree","Disagree","Agree","Disagree","Supportive","No",1.49,8.27,7.35,7.68,8
"R_6XgR4T9ExTsCqpR","General","65 or older","Male",NA,"33598","Hillsborough",NA,"$50,001 - $75,000",150,"A few times","1 - 4 years","Fair",1,1,0,0,0,0,NA,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,"Rarely","Rarely","Never","Never","Never","Rarely","Never","Never",NA,"Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Moderate","Medium","Shallow","Moderate","Rarely","Rarely","Never","Not sure","Somewhat agree","Strongly disagree","Agree","Strongly disagree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Supportive","No",6.72,6.08,6.69,1.61,1.79
"R_7eJj4ltnuYV4MbU","General","55 - 64","Male",NA,"34207","Manatee",NA,"$50,001 - $75,000",100,"A few times","5 - 9 years","Fair",2,1,1,0,0,0,NA,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Never","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never",NA,"Sometimes","Often","Sometimes","Sometimes","Rarely","Sometimes","High","Small","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Not sure","Agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Disagree","Agree","Somewhat disagree","Agree","Disagree","Supportive","No",5.45,10,4.4,5.17,10
"R_7bNzay9e0bwAGe5","General","65 or older","Male",NA,"33598","Hillsborough",NA,"$100,000 or more",200,"A few times","20 years or more","Fair",1,1,0,0,0,0,NA,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,1,0,0,4,"Often","Often","Never","Rarely","Never","Often","Often","Rarely",NA,"Often","Sometimes","Often","Sometimes","Always","Often","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Agree","Somewhat disagree","Agree","Disagree","Agree","Somewhat disagree","Agree","Disagree","Somewhat disagree","Somewhat disagree","Supportive","No",3.87,3.87,6.04,4.11,4.43
"R_1ir3Xuhx4Id4tdM","General","45 - 54","Male",NA,"33708","Pinellas",NA,"$100,000 or more",100,"About once a week","20 years or more","Excellent",1,1,0,0,0,0,NA,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,"Always","Sometimes","Always","Often","Rarely","Often","Rarely","Never",NA,"Often","Rarely","Never","Sometimes","Always","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Agree","Disagree","Somewhat disagree","Strongly disagree","Supportive","No",9.09,3.71,8.88,8.88,9.97
